"gender","decade","speaker","word","preceding","stress","following","foll.broad","traj","duration","measurement.no","f1","f2","f3"
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,0,554.4087165,1262.293104,2459.584238
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,1,535.3075171,1400.911162,2482.915718
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,2,535.3075171,1332.574032,2482.915718
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,3,546.6970387,1298.405467,2474.772621
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,4,558.0865604,1309.794989,2403.189066
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,5,558.0865604,1321.18451,2421.311982
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,6,537.900001,1332.574032,2433.468905
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,7,545.0459653,1295.282016,2494.305239
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,8,592.2551253,1334.974911,2608.200456
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,9,592.2551253,1446.522729,2619.589977
"M",2000,"00-O-m01","remember","@","schwa","{","unrounded.vowel","0002-00-O-m01-mw74__7.423-11.278.wav",0.218461783,10,670.1718831,1360.571587,2562.678718
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,0,558.0865604,1617.312073,2709.208203
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,1,580.8656036,1605.922551,2630.979499
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,2,597.6056409,1640.091116,2630.979499
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,3,603.6446469,1662.870159,2630.979499
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,4,580.8656036,1662.870159,2630.979499
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,5,546.6970387,1662.870159,2642.369021
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,6,571.4831325,1662.870159,2642.369021
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,7,570.4390136,1662.870159,2710.70615
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,8,546.6970387,1628.701595,2630.979499
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,9,546.6970387,1628.701595,2687.927107
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0003-00-O-m01-mw74__7.423-11.278.wav",0.117133131,10,535.3075171,1548.974943,2746.166076
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,0,421.4123007,1753.108931,2733.485194
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,1,424.4260831,1708.428246,2687.927107
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,2,478.3599089,1697.038724,2722.095672
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,3,489.7494305,1708.428246,2722.095672
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,4,472.1563762,1708.428246,2722.095672
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,5,466.9703872,1708.428246,2710.70615
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,6,512.5284738,1708.428246,2676.537585
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,7,489.7494305,1731.207289,2653.758542
