"","vowel.n","vowel","measurement.no","f2"
"1",1,"v.1",0,1647.57444564093
"2",1,"v.1",1,1694.61211475439
"3",1,"v.1",2,1750.34527437803
"4",1,"v.1",3,1810.42719592022
"5",1,"v.1",4,1868.94546463158
"6",1,"v.1",5,1920.5691446163
"7",1,"v.1",6,1962.2815963176
"8",1,"v.1",7,1993.65843882592
"9",1,"v.1",8,2016.01341610971
"10",1,"v.1",9,2031.33170274495
"11",1,"v.1",10,2041.54991820744
"12",2,"v.2",0,1403.14415799062
"13",2,"v.2",1,1403.74269965894
"14",2,"v.2",2,1410.4697096873
"15",2,"v.2",3,1477.7406555247
"16",2,"v.2",4,1778.21210368358
"17",2,"v.2",5,1983.62624372886
"18",2,"v.2",6,2012.98664302646
"19",2,"v.2",7,2015.71043284604
"20",2,"v.2",8,2015.95105133499
"21",2,"v.2",9,2015.97221369852
"22",2,"v.2",10,2015.97407420043
"23",3,"v.3",0,1402.69417374232
"24",3,"v.3",1,1414.18051552299
"25",3,"v.3",2,1493.05713990753
"26",3,"v.3",3,1735.75810147768
"27",3,"v.3",4,1891.66203048733
"28",3,"v.3",5,1920.82062516998
"29",3,"v.3",6,1924.56786327301
"30",3,"v.3",7,1925.02280751653
"31",3,"v.3",8,1925.07765169779
"32",3,"v.3",9,1925.08425758493
"33",3,"v.3",10,1925.08505317058
"34",4,"v.4",0,1468.67616676845
"35",4,"v.4",1,1472.03967461569
"36",4,"v.4",2,1488.22047477855
"37",4,"v.4",3,1555.35471290443
"38",4,"v.4",4,1722.97987202925
"39",4,"v.4",5,1880.79106128566
"40",4,"v.4",6,1938.93110544849
"41",4,"v.4",7,1952.54786602606
"42",4,"v.4",8,1955.35963192751
"43",4,"v.4",9,1955.92458526145
"44",4,"v.4",10,1956.03746979175
